round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,5,59,4,0,0,1.0
2,100,5,94,20,0,16,1.0
3,100,5,168,30,1,16,0.9226190476190477
4,100,5,229,34,1,16,0.9432314410480349
5,100,5,289,34,1,16,0.9550173010380623
6,100,5,342,36,1,16,0.9619883040935673
7,100,5,394,58,1,32,0.9670050761421319
8,100,5,456,93,1,57,0.9714912280701754
9,100,5,532,95,1,57,0.9755639097744361
10,100,5,602,97,2,57,0.9634551495016611
11,100,5,659,115,2,73,0.9666160849772383
12,100,5,727,117,2,73,0.9697386519944979
13,100,5,800,125,2,73,0.9725
14,100,5,874,135,2,73,0.9748283752860412
15,100,5,942,141,2,73,0.9766454352441614
16,100,5,1005,143,2,73,0.9781094527363184
17,100,5,1054,145,2,75,0.9791271347248577
18,100,5,1107,149,2,75,0.980126467931346
19,100,5,1185,153,2,75,0.9814345991561182
20,100,5,1246,159,2,75,0.9823434991974318
21,100,5,1321,161,2,75,0.9833459500378501
22,100,5,1405,165,2,75,0.9843416370106761
23,100,5,1471,171,2,75,0.9850441876274643
24,100,5,1545,173,2,75,0.9857605177993527
25,100,5,1596,205,2,105,0.9862155388471178
26,100,5,1666,209,2,105,0.9867947178871549
27,100,5,1732,211,2,105,0.9872979214780601
28,100,5,1801,215,2,105,0.9877845641310383
29,100,5,1849,215,2,105,0.9881016765819362
30,100,5,1920,215,2,105,0.9885416666666667
31,100,5,1993,219,3,105,0.9739086803813347
32,100,5,2063,221,3,105,0.9747939893359185
33,100,5,2120,223,3,105,0.9754716981132076
34,100,5,2177,229,3,105,0.9761139182361047
35,100,5,2233,250,3,122,0.9767129422301836
36,100,5,2299,256,3,122,0.9773814702044367
37,100,5,2351,273,3,133,0.9778817524457678
38,100,5,2413,275,3,133,0.9784500621632822
39,100,5,2466,281,3,133,0.9789132197891321
40,100,5,2532,287,3,133,0.9794628751974723
41,100,5,2596,289,3,133,0.9799691833590138
42,100,5,2663,295,3,133,0.9804731505820503
43,100,5,2700,318,3,154,0.9807407407407407
44,100,5,2775,324,3,154,0.9812612612612612
45,100,5,2839,324,3,154,0.9816836914406482
46,100,5,2897,326,3,154,0.9820503969623748
47,100,5,2953,332,3,154,0.9823907890281071
48,100,5,3000,352,3,172,0.9826666666666667
49,100,5,3051,352,3,172,0.9829564077351688
50,100,5,3112,352,3,172,0.9832904884318766
51,100,5,3180,358,3,172,0.9836477987421384
52,100,5,3250,360,3,172,0.984
53,100,5,3325,364,4,172,0.9804511278195489
54,100,5,3402,366,4,172,0.9808935920047032
55,100,5,3449,383,4,185,0.9811539576688896
56,100,5,3508,387,4,185,0.9814709236031927
57,100,5,3575,397,4,185,0.9818181818181818
58,100,5,3634,403,4,185,0.9821133736929004
59,100,5,3688,405,4,185,0.9823752711496746
60,100,5,3756,405,5,185,0.9784345047923323
61,100,5,3823,407,5,185,0.9788124509547476
62,100,5,3891,409,5,185,0.9791827293754819
63,100,5,3972,411,5,185,0.979607250755287
64,100,5,4030,417,5,185,0.9799007444168735
65,100,5,4094,419,5,185,0.9802149487054226
66,100,5,4137,436,5,200,0.9804205946337926
67,100,5,4183,438,5,200,0.980635907243605
68,100,5,4258,440,5,200,0.9809769844997651
69,100,5,4326,442,5,200,0.9812760055478502
70,100,5,4395,446,5,200,0.9815699658703072
71,100,5,4469,450,5,200,0.981875139852316
72,100,5,4542,450,5,200,0.9821664464993395
73,100,5,4591,477,5,227,0.9823567850141581
74,100,5,4662,477,5,227,0.9826254826254827
75,100,5,4724,479,5,227,0.9828535139712108
76,100,5,4784,485,5,227,0.9830685618729097
77,100,5,4858,495,5,227,0.9833264717990943
78,100,5,4936,499,5,227,0.9835899513776337
79,100,5,4980,533,5,255,0.9837349397590361
80,100,5,5024,535,5,255,0.9838773885350318
81,100,5,5100,541,5,255,0.9841176470588235
82,100,5,5179,543,5,255,0.9843599150415138
83,100,5,5233,547,5,255,0.9845213070896235
84,100,5,5293,549,5,255,0.9846967693179671
85,100,5,5359,555,5,255,0.9848852397835417
86,100,5,5433,559,5,255,0.9850911098840419
87,100,5,5489,576,5,266,0.9852432137001276
88,100,5,5562,582,5,266,0.9854368932038835
89,100,5,5616,586,5,266,0.9855769230769231
90,100,5,5693,592,5,266,0.9857720007026173
91,100,5,5754,611,5,279,0.9859228362877998
92,100,5,5822,617,5,279,0.9860872552387495
93,100,5,5879,627,5,279,0.9862221466235754
94,100,5,5960,627,5,279,0.9864093959731544
95,100,5,6035,629,5,279,0.9865782932891466
96,100,5,6091,631,5,279,0.986701691019537
97,100,5,6132,633,5,279,0.9867906066536204
98,100,5,6206,639,5,279,0.9869481147276828
99,100,5,6278,647,5,279,0.9870978018477222
100,100,5,6337,651,5,279,0.9872179264636263
101,100,5,6401,655,5,279,0.9873457272301203
102,100,5,6465,688,5,308,0.9874709976798144
103,100,5,6521,688,5,308,0.987578592240454
104,100,5,6601,690,5,308,0.9877291319497046
105,100,5,6673,690,5,308,0.9878615315450322
106,100,5,6737,696,5,308,0.9879768442927119
107,100,5,6818,704,5,308,0.9881196831915517
108,100,5,6885,706,5,308,0.9882352941176471
109,100,5,6963,708,5,308,0.988367083153813
110,100,5,7016,712,5,308,0.98845496009122
111,100,5,7060,712,5,308,0.9885269121813031
112,100,5,7121,716,5,308,0.9886251930908581
113,100,5,7178,720,5,308,0.9887155196433547
114,100,5,7258,724,5,308,0.9888399007991182
115,100,5,7314,726,5,308,0.9889253486464314
116,100,5,7380,728,5,308,0.9890243902439024
117,100,5,7428,732,5,308,0.9890953150242326
118,100,5,7502,736,6,308,0.9870701146360971
119,100,5,7570,736,6,308,0.9871862615587846
120,100,5,7627,738,7,308,0.9853153271273108
121,100,5,7689,742,7,308,0.9854337365066979
122,100,5,7760,746,7,308,0.9855670103092784
123,100,5,7836,754,7,308,0.9857069933639612
124,100,5,7888,754,7,308,0.9858012170385395
125,100,5,7972,756,7,308,0.9859508278976418
126,100,5,8045,762,7,308,0.9860783095090118
127,100,5,8121,764,7,308,0.9862085950006156
128,100,5,8190,766,7,308,0.9863247863247864
129,100,5,8249,784,7,322,0.9864225966783853
130,100,5,8314,790,7,322,0.9865287466923262
131,100,5,8371,790,7,322,0.9866204754509617
132,100,5,8434,796,7,322,0.9867204173583116
133,100,5,8502,800,7,322,0.9868266290284639
134,100,5,8558,804,7,322,0.9869128301004908
135,100,5,8620,810,7,322,0.9870069605568446
136,100,5,8686,814,7,322,0.9871056873129174
137,100,5,8753,818,7,322,0.9872043870672912
138,100,5,8818,822,7,322,0.9872987071898389
139,100,5,8871,828,7,322,0.9873745913651223
140,100,5,8943,832,7,322,0.9874762383987477
141,100,5,9011,838,7,322,0.9875707468649428
142,100,5,9052,863,7,343,0.9876270437472382
143,100,5,9134,867,7,343,0.9877381213050143
144,100,5,9198,867,7,343,0.9878234398782344
145,100,5,9265,869,7,343,0.9879114948731786
146,100,5,9328,871,7,343,0.9879931389365352
147,100,5,9393,877,7,343,0.9880762269775365
148,100,5,9448,885,7,343,0.9881456392887383
149,100,5,9509,889,7,343,0.9882216847197391
150,100,5,9554,916,7,368,0.9882771613983672
151,100,5,9617,920,7,368,0.9883539565353021
152,100,5,9680,928,7,368,0.9884297520661157
153,100,5,9754,934,7,368,0.9885175312692229
154,100,5,9809,940,8,368,0.9873585482719951
155,100,5,9863,942,8,368,0.9874277603163337
156,100,5,9939,950,8,368,0.9875238957641613
157,100,5,10009,950,8,368,0.9876111499650315
158,100,5,10087,956,8,368,0.9877069495390106
159,100,5,10144,960,8,368,0.987776025236593
160,100,5,10184,1002,8,402,0.9878240377062059
161,100,5,10232,1008,8,402,0.9878811571540266
162,100,5,10303,1008,8,402,0.9879646704843249
163,100,5,10380,1012,8,402,0.9880539499036609
164,100,5,10426,1016,8,402,0.9881066564358335
165,100,5,10491,1020,8,402,0.9881803450576685
166,100,5,10537,1024,8,402,0.9882319445762551
167,100,5,10615,1028,8,402,0.9883184173339614
168,100,5,10679,1034,9,402,0.9866092330742579
169,100,5,10748,1040,9,402,0.9866951991068106
170,100,5,10802,1044,9,402,0.9867617107942973
171,100,5,10859,1046,9,402,0.9868311999263284
172,100,5,10926,1046,9,402,0.9869119531393008
173,100,5,10973,1046,9,402,0.9869680123940582
174,100,5,11047,1054,9,402,0.9870553091337014
175,100,5,11113,1064,9,402,0.9871321875281203
176,100,5,11153,1091,9,427,0.9871783376669955
177,100,5,11228,1097,9,427,0.9872639828998931
178,100,5,11287,1105,9,427,0.9873305572782848
