round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,8,27,6,0,0,1.0
2,100,8,56,8,0,0,1.0
3,100,8,86,8,0,0,1.0
4,100,8,116,8,0,0,1.0
5,100,8,146,8,0,0,1.0
6,100,8,176,8,0,0,1.0
7,100,8,206,8,0,0,1.0
8,100,8,235,10,0,0,1.0
9,100,8,265,10,0,0,1.0
10,100,8,295,10,0,0,1.0
11,100,8,322,16,0,0,1.0
12,100,8,351,18,0,0,1.0
13,100,8,380,20,0,0,1.0
14,100,8,408,24,0,0,1.0
15,100,8,437,26,0,0,1.0
16,100,8,465,30,0,0,1.0
17,100,8,494,32,0,0,1.0
18,100,8,524,32,0,0,1.0
19,100,8,554,32,0,0,1.0
20,100,8,584,32,0,0,1.0
21,100,8,613,34,0,0,1.0
22,100,8,642,36,0,0,1.0
23,100,8,671,38,0,0,1.0
24,100,8,701,38,0,0,1.0
25,100,8,729,42,0,0,1.0
26,100,8,758,44,0,0,1.0
27,100,8,782,44,0,0,1.0
28,100,8,805,46,0,0,1.0
29,100,8,829,46,0,0,1.0
30,100,8,853,46,0,0,1.0
31,100,8,877,46,0,0,1.0
32,100,8,900,48,0,0,1.0
33,100,8,924,48,0,0,1.0
34,100,8,947,50,0,0,1.0
35,100,8,971,50,0,0,1.0
36,100,8,995,50,0,0,1.0
37,100,8,1019,50,0,0,1.0
38,100,8,1042,52,0,0,1.0
39,100,8,1066,52,0,0,1.0
40,100,8,1088,56,0,0,1.0
41,100,8,1112,56,0,0,1.0
42,100,8,1136,56,0,0,1.0
43,100,8,1159,58,0,0,1.0
44,100,8,1182,60,0,0,1.0
45,100,8,1204,64,0,0,1.0
46,100,8,1228,64,0,0,1.0
47,100,8,1250,68,0,0,1.0
48,100,8,1274,68,0,0,1.0
49,100,8,1298,68,0,0,1.0
50,100,8,1331,72,1,0,0.9887302779864763
51,100,8,1349,90,1,16,0.9888806523350631
52,100,8,1382,94,2,16,0.9782923299565847
53,100,8,1400,112,2,32,0.9785714285714285
54,100,8,1433,116,3,32,0.9685973482205164
55,100,8,1466,120,4,32,0.9583901773533424
56,100,8,1500,122,5,32,0.948
57,100,8,1518,139,5,49,0.9486166007905138
58,100,8,1551,143,5,49,0.9497098646034816
59,100,8,1586,143,6,49,0.9401008827238335
60,100,8,1604,161,6,65,0.9407730673316709
61,100,8,1639,161,7,65,0.9316656497864552
62,100,8,1657,179,7,81,0.9324079662039831
63,100,8,1681,179,7,81,0.933372992266508
64,100,8,1697,195,7,93,0.934001178550383
65,100,8,1714,209,7,105,0.9346557759626605
66,100,8,1730,224,7,118,0.9352601156069364
67,100,8,1747,238,7,130,0.9358900973096738
68,100,8,1764,253,7,141,0.9365079365079365
69,100,8,1780,269,7,153,0.9370786516853933
70,100,8,1796,285,7,165,0.9376391982182628
71,100,8,1813,298,7,178,0.9382239382239382
72,100,8,1841,302,7,178,0.9391634980988594
73,100,8,1858,315,7,191,0.9397201291711518
74,100,8,1888,315,8,191,0.933792372881356
75,100,8,1905,328,8,204,0.9343832020997376
76,100,8,1934,328,8,204,0.9353671147880042
77,100,8,1945,345,8,219,0.9357326478149101
78,100,8,1956,362,8,234,0.9360940695296524
79,100,8,1983,366,8,234,0.9369641956631367
80,100,8,2011,366,9,234,0.9298856290402785
81,100,8,2039,370,9,234,0.9308484551250613
82,100,8,2059,372,9,234,0.9315201554152501
83,100,8,2076,383,9,243,0.9320809248554913
84,100,8,2094,392,9,252,0.9326647564469914
85,100,8,2111,403,9,261,0.9332070108953103
86,100,8,2128,414,9,270,0.9337406015037594
87,100,8,2145,425,9,279,0.9342657342657342
88,100,8,2162,436,9,288,0.9347826086956522
89,100,8,2188,438,10,288,0.9314442413162706
90,100,8,2214,440,11,288,0.9281842818428184
91,100,8,2240,442,11,288,0.9290178571428571
92,100,8,2267,442,11,288,0.9298632554036171
93,100,8,2285,451,11,297,0.9304157549234136
94,100,8,2300,466,11,306,0.9308695652173913
95,100,8,2327,466,12,306,0.9278040395358831
96,100,8,2344,477,12,315,0.9283276450511946
97,100,8,2359,492,12,324,0.9287833827893175
98,100,8,2387,494,12,324,0.9296187683284457
99,100,8,2415,498,12,324,0.9304347826086956
100,100,8,2443,500,12,324,0.9312320916905444
101,100,8,2470,500,13,324,0.9283400809716599
102,100,8,2500,500,13,324,0.9292
103,100,8,2519,504,13,324,0.9297340214370782
104,100,8,2547,506,13,324,0.9305064782096584
105,100,8,2558,526,13,338,0.9308053166536356
106,100,8,2588,526,13,338,0.9316074188562596
107,100,8,2617,528,13,338,0.9323653037829576
108,100,8,2646,530,13,338,0.9331065759637188
109,100,8,2676,530,13,338,0.9338565022421524
110,100,8,2706,530,13,338,0.934589800443459
111,100,8,2733,536,13,338,0.9352360043907794
112,100,8,2756,542,13,338,0.9357764876632801
113,100,8,2773,557,13,349,0.9361702127659575
114,100,8,2796,567,13,359,0.9366952789699571
115,100,8,2815,584,13,376,0.9371225577264654
116,100,8,2849,588,13,376,0.9378729378729379
117,100,8,2885,588,14,376,0.9327556325823223
118,100,8,2904,606,14,392,0.9331955922865014
119,100,8,2921,628,14,408,0.9335843889079083
120,100,8,2955,632,15,408,0.9285956006768189
121,100,8,2973,652,15,424,0.9290279179280189
122,100,8,3005,660,16,424,0.9247920133111481
123,100,8,3040,662,17,424,0.9203947368421053
124,100,8,3075,664,18,424,0.9160975609756098
125,100,8,3111,664,18,424,0.9170684667309547
126,100,8,3147,664,19,424,0.9126151890689546
127,100,8,3166,681,19,441,0.9131396083385976
128,100,8,3201,681,19,441,0.9140893470790378
129,100,8,3233,687,19,441,0.9149396845035571
130,100,8,3268,687,19,441,0.9158506731946144
131,100,8,3302,689,19,441,0.91671714112659
132,100,8,3335,693,19,441,0.9175412293853074
133,100,8,3367,699,19,441,0.9183249183249184
134,100,8,3400,703,19,441,0.9191176470588235
135,100,8,3434,705,19,441,0.9199184624344787
136,100,8,3468,707,19,441,0.9207035755478662
137,100,8,3502,709,19,441,0.9214734437464306
138,100,8,3536,711,19,441,0.9222285067873304
139,100,8,3580,713,20,441,0.9187150837988827
140,100,8,3616,719,20,441,0.9195243362831859
141,100,8,3653,719,20,441,0.9203394470298385
142,100,8,3687,725,20,441,0.9210740439381611
143,100,8,3731,730,21,444,0.9166443312784777
144,100,8,3759,751,21,465,0.9172652301143921
145,100,8,3791,769,21,481,0.917963597995252
146,100,8,3838,773,22,481,0.914538822303283
147,100,8,3868,795,22,497,0.9152016546018614
148,100,8,3915,799,23,497,0.91213282247765
149,100,8,3946,819,23,513,0.9128231120121643
150,100,8,3992,825,24,513,0.9100701402805611
151,100,8,4040,827,25,513,0.906930693069307
152,100,8,4087,831,26,513,0.9040861267433326
153,100,8,4133,837,27,513,0.9012823614807646
154,100,8,4165,856,27,528,0.9020408163265307
155,100,8,4206,860,27,528,0.9029957203994294
156,100,8,4248,860,27,528,0.903954802259887
157,100,8,4290,862,28,528,0.9018648018648019
158,100,8,4330,866,28,528,0.9027713625866051
159,100,8,4370,869,28,529,0.9036613272311212
160,100,8,4402,871,28,529,0.9043616537937301
161,100,8,4420,885,28,543,0.9047511312217195
162,100,8,4462,887,28,543,0.9056476916181084
163,100,8,4492,891,28,543,0.9062778272484416
164,100,8,4522,895,28,543,0.9068996019460416
165,100,8,4543,908,28,554,0.9073299581774158
166,100,8,4571,918,28,554,0.9078976154014439
167,100,8,4615,920,28,554,0.9087757313109426
168,100,8,4660,920,28,554,0.9096566523605151
169,100,8,4704,922,28,554,0.9105017006802721
170,100,8,4747,926,28,554,0.9113124078365283
171,100,8,4788,934,28,554,0.9120718462823726
172,100,8,4830,940,28,554,0.9128364389233955
173,100,8,4873,944,28,554,0.9136055817771394
174,100,8,4916,948,28,554,0.9143612693246542
175,100,8,4959,952,28,554,0.9151038515829805
176,100,8,4996,954,28,554,0.9157325860688551
177,100,8,5032,957,28,555,0.916335453100159
178,100,8,5060,980,28,574,0.916798418972332
179,100,8,5096,984,28,574,0.917386185243328
180,100,8,5130,986,28,574,0.917933723196881
181,100,8,5160,986,28,574,0.9184108527131783
182,100,8,5189,988,28,574,0.9188668336866448
183,100,8,5224,990,28,574,0.9194104134762634
184,100,8,5254,990,28,574,0.9198705748001522
185,100,8,5294,994,28,574,0.9204760105780129
186,100,8,5324,994,28,574,0.9209241172051089
187,100,8,5365,994,28,574,0.9215284249767008
188,100,8,5395,994,28,574,0.9219647822057461
189,100,8,5437,1000,28,574,0.9225675924222917
190,100,8,5480,1004,28,574,0.9231751824817518
191,100,8,5523,1008,28,574,0.9237733116060112
192,100,8,5567,1010,28,574,0.9243757858810849
193,100,8,5612,1010,28,574,0.9249821810406272
194,100,8,5657,1010,28,574,0.9255789287608273
195,100,8,5701,1012,28,574,0.9261533064374671
196,100,8,5743,1018,28,574,0.9266933658366707
197,100,8,5786,1022,28,574,0.9272381610784652
198,100,8,5829,1026,28,574,0.9277749185108938
199,100,8,5871,1032,28,574,0.9282916027933913
200,100,8,5914,1036,28,574,0.9288129861345958
201,100,8,5956,1042,28,574,0.9293149764942915
202,100,8,5998,1048,28,574,0.9298099366455486
203,100,8,6047,1050,28,574,0.9303787001819084
204,100,8,6096,1054,28,574,0.9309383202099738
205,100,8,6137,1054,28,574,0.9313997066970833
206,100,8,6184,1062,28,574,0.931921086675291
207,100,8,6218,1064,28,574,0.9322933419105822
208,100,8,6252,1066,28,574,0.9326615483045425
209,100,8,6285,1070,28,574,0.9330151153540175
210,100,8,6330,1076,29,574,0.9306477093206951
211,100,8,6379,1078,30,574,0.9278883837592099
212,100,8,6424,1080,30,574,0.9283935242839353
213,100,8,6470,1080,31,574,0.9262751159196291
214,100,8,6498,1100,31,590,0.9265927977839336
215,100,8,6526,1120,31,606,0.9269077536009807
216,100,8,6550,1136,31,622,0.927175572519084
217,100,8,6615,1140,31,622,0.927891156462585
218,100,8,6682,1140,31,622,0.9286141873690512
219,100,8,6743,1152,31,622,0.9292599733056504
220,100,8,6807,1158,31,622,0.9299250771264874
221,100,8,6873,1160,31,622,0.930597992143169
222,100,8,6939,1162,31,622,0.9312581063553826
223,100,8,7002,1170,31,622,0.9318766066838047
224,100,8,7068,1172,31,622,0.9325127334465195
225,100,8,7134,1174,31,622,0.9331370899915896
226,100,8,7197,1182,31,622,0.9337223843268029
227,100,8,7263,1184,31,622,0.9343246592317225
228,100,8,7288,1205,31,641,0.9345499451152579
229,100,8,7319,1214,31,648,0.9348271621806258
230,100,8,7364,1220,31,648,0.9352254209668658
231,100,8,7408,1228,31,648,0.9356101511879049
232,100,8,7455,1230,31,648,0.9360160965794768
233,100,8,7503,1230,31,648,0.9364254298280688
234,100,8,7547,1238,31,648,0.936796077911753
235,100,8,7592,1244,31,648,0.9371707060063225
236,100,8,7652,1248,31,648,0.9376633559853633
237,100,8,7713,1250,31,648,0.9381563593932322
238,100,8,7774,1252,31,648,0.9386416259325958
239,100,8,7833,1258,31,648,0.9391037916507086
240,100,8,7893,1262,31,648,0.9395667046750285
241,100,8,7954,1264,31,648,0.9400301734976113
242,100,8,8024,1266,31,648,0.9405533399800599
243,100,8,8090,1276,31,648,0.9410383189122373
244,100,8,8161,1276,31,648,0.9415512804803333
245,100,8,8231,1278,31,648,0.9420483537844734
246,100,8,8301,1280,31,648,0.9425370437296712
247,100,8,8368,1288,31,648,0.9429971319311663
248,100,8,8444,1294,31,648,0.9435101847465656
249,100,8,8516,1294,31,648,0.9439877876937529
250,100,8,8585,1294,31,648,0.9444379732090856
251,100,8,8647,1296,31,648,0.9448363594310165
252,100,8,8710,1296,31,648,0.9452353616532722
253,100,8,8780,1306,31,648,0.9456719817767654
254,100,8,8833,1308,31,648,0.9459979621872523
255,100,8,8899,1318,31,648,0.9463984717383975
256,100,8,8955,1320,31,648,0.9467336683417086
