round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,12,69,17,1,13,0.8985507246376812
2,100,16,138,41,1,35,0.9492753623188406
3,100,10,214,45,1,35,0.9672897196261683
4,100,12,278,69,1,55,0.9748201438848921
5,100,8,335,86,1,66,0.9791044776119403
6,100,8,403,94,1,66,0.9826302729528535
7,100,9,477,102,1,66,0.9853249475890985
8,100,12,552,120,1,74,0.9873188405797102
9,100,9,626,126,1,74,0.9888178913738019
10,100,8,692,151,1,93,0.9898843930635838
11,100,8,768,157,2,93,0.9583333333333334
12,100,9,835,161,3,93,0.9520958083832335
13,100,8,893,173,3,101,0.9552071668533034
14,100,8,960,185,3,103,0.9583333333333334
15,100,13,1041,193,3,103,0.9615754082612872
16,100,8,1117,195,3,103,0.964189794091316
17,100,9,1180,207,3,111,0.9661016949152542
18,100,9,1253,217,4,121,0.9608938547486033
19,100,9,1316,237,4,135,0.9627659574468085
20,100,7,1361,262,4,154,0.9639970609845702
21,100,9,1434,268,5,154,0.9581589958158996
22,100,8,1508,274,5,154,0.9602122015915119
23,100,7,1578,288,5,164,0.9619771863117871
24,100,8,1655,290,5,164,0.9637462235649547
25,100,15,1735,298,6,164,0.9619596541786744
26,100,7,1794,318,6,182,0.9632107023411371
27,100,10,1877,324,6,182,0.9648375066595631
28,100,9,1958,329,7,185,0.9586312563840653
29,100,8,2035,331,8,185,0.9557739557739557
30,100,7,2099,337,8,185,0.957122439256789
31,100,12,2173,349,9,185,0.9567418315692591
32,100,8,2236,376,9,210,0.9579606440071556
33,100,7,2301,378,9,210,0.959148196436332
34,100,19,2367,395,10,223,0.9581749049429658
35,100,12,2449,399,10,223,0.9595753368721928
36,100,8,2523,403,10,223,0.9607609988109393
37,100,12,2601,412,11,228,0.9588619761630143
38,100,8,2670,420,11,228,0.9599250936329587
39,100,7,2689,467,11,267,0.9602082558571959
40,100,8,2748,475,11,273,0.9610625909752547
41,100,8,2803,492,11,288,0.9618266143417766
42,100,8,2862,527,11,319,0.9626135569531796
43,100,8,2926,533,11,323,0.9634313055365687
44,100,8,3010,541,11,323,0.9644518272425249
45,100,11,3091,545,12,323,0.9634422516984794
46,100,11,3177,547,12,323,0.9644318539502675
47,100,9,3235,564,12,334,0.9650695517774344
48,100,8,3304,573,12,343,0.9657990314769975
49,100,10,3383,579,13,343,0.963641738102276
50,100,8,3436,608,13,364,0.9642025611175786
51,100,6,3454,624,13,378,0.9643891140706428
52,100,13,3538,626,13,378,0.9652345958168457
53,100,15,3614,636,13,382,0.9659656889872718
54,100,9,3689,640,14,382,0.9647600975874221
55,100,8,3766,642,15,382,0.9646840148698885
56,100,8,3843,646,15,382,0.9653916211293261
57,100,9,3920,650,15,382,0.9660714285714286
58,100,7,3999,654,16,382,0.9619904976244061
59,100,8,4071,662,16,386,0.962662736428396
60,100,12,4156,666,16,386,0.9634263715110684
61,100,12,4218,689,16,409,0.963963963963964
62,100,7,4288,695,17,409,0.9626865671641791
63,100,12,4373,701,17,409,0.9634118454150469
64,100,16,4452,709,18,409,0.9620395327942498
65,100,7,4492,720,18,418,0.9623775601068566
66,100,7,4556,738,19,432,0.9611501316944688
67,100,8,4625,758,19,448,0.9617297297297297
68,100,8,4682,794,19,480,0.9621956428876548
69,100,7,4762,802,19,480,0.9628307433851323
70,100,14,4838,812,19,488,0.9634146341463414
71,100,8,4894,827,19,503,0.9638332652227217
72,100,8,4949,865,19,539,0.9642351990301071
73,100,11,5028,868,19,540,0.9647971360381862
74,100,8,5107,870,19,540,0.9653416878793812
75,100,10,5183,883,19,547,0.965849893883851
76,100,13,5255,892,20,550,0.9642245480494767
77,100,8,5329,902,20,550,0.9647213360855695
78,100,8,5402,904,21,550,0.9622362088115513
79,100,9,5475,915,21,555,0.9627397260273972
80,100,12,5545,928,21,562,0.9632100991884581
81,100,8,5614,950,21,580,0.9636622728892056
82,100,12,5685,965,22,591,0.963764291996482
83,100,8,5748,965,22,591,0.9641614474599861
84,100,11,5800,993,23,617,0.9629310344827586
85,100,9,5866,1001,23,623,0.9633481077395158
86,100,7,5928,1009,23,623,0.9637314439946019
