round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,12,54,47,2,31,0.6481481481481481
2,100,20,119,69,6,39,0.6890756302521008
3,100,12,174,108,8,64,0.6666666666666666
4,100,10,240,134,9,78,0.7375
5,100,10,281,179,9,107,0.7758007117437722
6,100,10,324,200,9,120,0.8055555555555556
7,100,10,382,235,10,135,0.8089005235602095
8,100,10,433,256,11,146,0.7967667436489607
9,100,10,498,270,11,146,0.8232931726907631
10,100,10,572,288,14,146,0.7937062937062938
11,100,10,641,315,17,161,0.7769110764430577
12,100,13,699,344,19,166,0.7839771101573677
13,100,13,760,375,22,173,0.7842105263157895
14,100,10,833,391,23,173,0.7959183673469388
15,100,10,885,432,23,198,0.807909604519774
16,100,10,929,463,23,215,0.8170075349838536
17,100,10,962,503,23,243,0.8232848232848233
18,100,10,1023,519,25,243,0.8269794721407625
19,100,10,1093,533,26,243,0.8325709057639524
20,100,10,1149,564,28,258,0.835509138381201
21,100,13,1190,620,29,296,0.8403361344537815
22,100,9,1241,656,29,316,0.846897663174859
23,100,9,1300,676,30,316,0.8453846153846154
24,100,9,1362,705,31,325,0.8443465491923642
25,100,9,1398,767,33,369,0.8369098712446352
26,100,9,1472,777,34,369,0.84375
27,100,9,1516,815,34,395,0.8482849604221636
28,100,8,1578,839,34,395,0.8542458808618505
29,100,9,1642,868,34,404,0.8599269183922046
30,100,8,1715,891,34,413,0.8658892128279884
31,100,8,1782,897,34,413,0.8709315375982043
32,100,9,1847,917,35,413,0.873308067135896
33,100,8,1924,935,35,413,0.8783783783783784
34,100,8,1960,976,35,446,0.8806122448979592
35,100,8,1995,1007,36,465,0.8817042606516291
36,100,8,2060,1031,36,465,0.8854368932038835
37,100,8,2127,1043,36,465,0.8890456041372825
38,100,8,2188,1077,36,473,0.8921389396709324
39,100,8,2252,1103,36,483,0.8952042628774423
40,100,8,2309,1135,37,499,0.888263317453443
41,100,8,2355,1174,37,524,0.8904458598726115
42,100,8,2425,1192,37,524,0.8936082474226804
43,100,8,2487,1210,37,524,0.8962605548854041
44,100,10,2550,1239,37,535,0.8988235294117647
45,100,8,2618,1253,37,535,0.9014514896867838
46,100,8,2692,1267,37,535,0.9041604754829123
47,100,8,2765,1287,37,535,0.9066907775768536
48,100,8,2806,1322,37,556,0.9080541696364932
49,100,8,2862,1328,38,556,0.9084556254367575
50,100,7,2898,1334,38,556,0.9095928226363009
51,100,7,2944,1353,38,567,0.9110054347826086
52,100,8,3019,1371,38,567,0.9132162967870155
53,100,7,3074,1394,38,576,0.9147690305790501
54,100,7,3123,1418,38,576,0.9161063080371438
55,100,9,3187,1451,38,587,0.9177910260433009
56,100,7,3252,1465,38,587,0.9194341943419434
57,100,7,3324,1479,38,587,0.9211793020457281
58,100,7,3373,1495,38,587,0.9223243403498369
59,100,7,3402,1530,38,608,0.9229864785420341
60,100,7,3460,1552,38,608,0.9242774566473988
61,100,12,3532,1568,38,608,0.9258210645526613
62,100,7,3576,1589,38,611,0.9267337807606264
63,100,7,3639,1605,38,619,0.9280021984061555
64,100,7,3695,1625,38,619,0.9290933694181326
65,100,7,3766,1647,39,619,0.9283058948486458
66,100,8,3826,1669,39,619,0.9294302143230528
67,100,7,3895,1692,40,628,0.9258023106546855
68,100,7,3956,1704,40,628,0.9269464105156724
69,100,7,4020,1710,40,628,0.9281094527363184
70,100,7,4088,1720,40,628,0.9293052837573386
71,100,7,4163,1734,40,628,0.9305789094403075
72,100,7,4222,1752,40,628,0.9315490288962577
73,100,7,4297,1768,40,628,0.9327437747265535
74,100,13,4368,1792,40,628,0.9338369963369964
75,100,7,4422,1820,41,638,0.9308005427408412
76,100,7,4468,1836,41,638,0.9315129811996419
77,100,8,4538,1852,41,638,0.9325694138386955
78,100,7,4606,1864,41,638,0.9335649153278333
79,100,7,4682,1870,41,638,0.9346433148227253
80,100,7,4748,1886,41,638,0.9355518112889638
81,100,7,4825,1898,41,638,0.936580310880829
82,100,7,4883,1916,41,638,0.9373336063895147
83,100,7,4967,1930,41,638,0.9383933964163479
84,100,7,5021,1944,41,638,0.9390559649472217
85,100,7,5079,1954,41,638,0.9397519196692262
86,100,7,5133,1968,41,638,0.9403857393337229
87,100,7,5176,1972,41,638,0.9408809891808346
88,100,8,5242,1986,41,638,0.941625333842045
89,100,7,5326,2002,41,638,0.9425460007510327
90,100,8,5400,2020,41,638,0.9433333333333334
91,100,7,5462,2026,41,638,0.9439765653606738
92,100,7,5526,2046,41,638,0.9446254071661238
93,100,7,5604,2056,41,638,0.9453961456102784
94,100,7,5666,2074,41,638,0.9459936463113308
95,100,7,5710,2094,41,638,0.9464098073555166
96,100,7,5756,2108,41,638,0.9468380820013899
97,100,9,5835,2118,41,638,0.9475578406169666
98,100,9,5898,2130,41,638,0.948118006103764
99,100,7,5958,2138,41,638,0.9486404833836858
100,100,7,6012,2144,41,638,0.9491017964071856
101,100,7,6053,2160,41,638,0.9494465554270609
102,100,7,6121,2182,41,638,0.950008168599902
103,100,7,6185,2192,41,638,0.9505254648342765
104,100,7,6251,2210,41,638,0.9510478323468246
105,100,8,6325,2222,41,638,0.9516205533596838
106,100,7,6406,2232,41,638,0.9522322822354043
107,100,7,6478,2254,41,638,0.9527631985180611
108,100,7,6534,2270,41,638,0.953168044077135
109,100,7,6591,2288,41,638,0.9535730541647701
110,100,8,6653,2304,41,638,0.9540057117090035
111,100,7,6705,2312,41,638,0.9543624161073826
112,100,7,6763,2326,41,638,0.9547538074818868
113,100,7,6828,2346,41,638,0.9551845342706503
114,100,7,6898,2352,41,638,0.9556393157436939
115,100,7,6936,2366,41,638,0.9558823529411765
116,100,11,7012,2384,41,638,0.9563605248146035
117,100,8,7084,2398,41,638,0.9568040654997176
118,100,7,7131,2400,41,638,0.9570887673538073
119,100,7,7180,2410,41,638,0.9573816155988858
120,100,7,7235,2434,41,638,0.957705597788528
121,100,7,7301,2450,41,638,0.9580879331598411
122,100,7,7370,2462,41,638,0.9584803256445047
123,100,7,7444,2478,41,638,0.9588930682428801
124,100,7,7494,2492,41,638,0.9591673338670936
125,100,7,7566,2502,41,638,0.9595559080095163
126,100,7,7618,2526,41,638,0.9598319768968233
127,100,7,7667,2538,41,638,0.9600886917960089
128,100,8,7748,2550,41,638,0.9605059370160042
129,100,7,7819,2574,41,638,0.9608645606855096
130,100,7,7888,2598,41,638,0.9612068965517241
131,100,7,7972,2614,41,638,0.9616156547917712
132,100,7,8036,2636,41,638,0.9619213539074166
133,100,7,8086,2652,41,638,0.9621568142468464
134,100,7,8146,2674,41,638,0.9624355511907685
135,100,7,8203,2698,41,638,0.9626965744239913
136,100,7,8252,2720,41,638,0.9629180804653418
137,100,7,8308,2740,41,638,0.9631680308136735
138,100,9,8381,2758,41,638,0.9634888438133874
139,100,7,8410,2764,41,638,0.9636147443519619
140,100,7,8482,2782,41,638,0.9639236029238387
141,100,7,8549,2804,41,638,0.964206339922798
142,100,7,8613,2828,41,638,0.9644723092998955
143,100,7,8680,2846,41,638,0.9647465437788019
144,100,8,8761,2866,41,638,0.9650724803104669
145,100,10,8837,2886,41,638,0.9653728640941496
146,100,7,8882,2906,41,638,0.9655482999324476
147,100,7,8947,2918,41,638,0.9657985917067173
148,100,7,8990,2938,41,638,0.9659621802002225
149,100,7,9064,2950,41,638,0.9662400706090026
150,100,7,9129,2964,41,638,0.9664804469273743
151,100,8,9192,2988,41,638,0.966710182767624
152,100,7,9247,3008,41,638,0.966908186438845
153,100,7,9316,3026,41,638,0.9671532846715328
154,100,7,9380,3048,41,638,0.9673773987206823
155,100,7,9423,3066,41,638,0.9675262655205349
156,100,10,9499,3086,41,638,0.9677860827455521
157,100,7,9570,3100,41,638,0.9680250783699059
158,100,7,9634,3112,41,638,0.9682374922150716
159,100,7,9709,3128,41,638,0.968482850963024
160,100,7,9786,3146,41,638,0.9687308399754752
161,100,8,9856,3160,41,638,0.968952922077922
162,100,7,9891,3176,41,638,0.9690627843494085
163,100,7,9963,3196,41,638,0.969286359530262
164,100,7,10016,3218,41,638,0.9694488817891374
165,100,7,10072,3234,41,638,0.9696187450357426
166,100,7,10114,3242,41,638,0.96974490804825
167,100,8,10182,3264,41,638,0.9699469652327637
168,100,7,10225,3276,41,638,0.9700733496332519
169,100,7,10277,3292,41,638,0.9702247737666634
170,100,7,10350,3306,41,638,0.9704347826086956
171,100,7,10412,3322,41,638,0.9706108336534768
172,100,7,10461,3332,41,638,0.9707484944078004
173,100,8,10526,3340,41,638,0.9709291278738362
174,100,7,10582,3352,41,638,0.971082971082971
175,100,8,10658,3380,41,638,0.9712891724526177
176,100,7,10705,3398,41,638,0.9714152265296591
177,100,7,10771,3410,41,638,0.971590381580169
178,100,7,10846,3420,41,638,0.9717868338557993
179,100,7,10919,3430,41,638,0.9719754556278047
180,100,7,10969,3444,41,638,0.9721031999270672
181,100,7,11013,3458,41,638,0.9722146554072459
182,100,7,11065,3468,41,638,0.9723452327157704
183,100,7,11130,3476,41,638,0.9725067385444744
184,100,7,11199,3496,41,638,0.9726761317974819
185,100,7,11267,3522,41,638,0.9728410402059111
186,100,7,11330,3536,41,638,0.9729920564872021
187,100,7,11397,3540,41,638,0.9731508291655699
188,100,8,11453,3550,41,638,0.973282109490963
189,100,7,11522,3570,41,638,0.9734421107446624
190,100,7,11587,3582,41,638,0.9735910934668163
191,100,7,11667,3590,41,638,0.9737721779377732
192,100,7,11730,3602,41,638,0.9739130434782609
193,100,7,11782,3612,41,638,0.9740281785774911
194,100,7,11841,3634,41,638,0.9741575880415505
195,100,7,11892,3650,41,638,0.9742684157416751
196,100,7,11949,3664,41,638,0.9743911624403716
197,100,7,12003,3680,41,638,0.9745063734066484
198,100,7,12058,3690,41,638,0.9746226571570742
199,100,8,12117,3712,41,638,0.9747462243129488
200,100,7,12178,3720,41,638,0.9748727213007062
201,100,7,12242,3738,41,638,0.975004084299951
202,100,8,12303,3758,41,638,0.9751280175566935
203,100,7,12372,3774,41,638,0.975266731328807
204,100,7,12445,3790,41,638,0.9754118119726798
205,100,7,12513,3810,41,638,0.9755454327499401
206,100,7,12571,3824,41,638,0.9756582610770822
207,100,7,12623,3842,41,638,0.9757585360057038
208,100,7,12684,3860,41,638,0.9758751182592242
209,100,8,12749,3888,41,638,0.9759981174994117
210,100,7,12816,3894,41,638,0.976123595505618
211,100,7,12884,3920,41,638,0.9762496119217634
212,100,7,12948,3942,41,638,0.9763670064874884
213,100,8,13016,3962,41,638,0.9764904732636754
214,100,7,13080,3980,41,638,0.976605504587156
215,100,7,13149,3992,41,638,0.9767282683093771
216,100,10,13221,4008,41,638,0.9768550034036759
217,100,7,13287,4020,41,638,0.9769699706480018
218,100,7,13358,4028,41,638,0.9770923790986674
219,100,7,13407,4036,41,638,0.9771761020362497
220,100,8,13475,4060,41,638,0.977291280148423
221,100,7,13546,4070,41,638,0.9774103056252769
222,100,7,13617,4088,41,638,0.9775280898876404
223,100,7,13688,4104,41,638,0.9776446522501461
224,100,7,13754,4126,41,638,0.9777519267122292
225,100,7,13806,4142,41,638,0.9778357235984355
226,100,7,13849,4156,41,638,0.9779045418441765
227,100,7,13915,4180,41,638,0.97800934243622
228,100,8,13989,4192,41,638,0.9781256701694189
