round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,16,50,54,0,20,1.0
2,100,14,97,102,2,50,0.9072164948453608
3,100,11,129,171,2,95,0.9302325581395349
4,100,9,172,230,3,130,0.8953488372093024
5,100,8,231,290,5,172,0.8917748917748918
6,100,8,288,338,7,190,0.8472222222222222
7,100,8,324,406,7,234,0.8641975308641975
8,100,9,374,451,7,259,0.8823529411764706
9,100,9,426,500,9,286,0.8591549295774648
10,100,9,484,543,11,307,0.8471074380165289
11,100,9,539,607,12,355,0.8460111317254174
12,100,9,591,657,13,379,0.8544839255499154
13,100,9,636,719,15,409,0.8349056603773585
14,100,9,690,770,17,430,0.8202898550724638
15,100,9,755,805,19,447,0.823841059602649
16,100,9,805,866,20,486,0.8186335403726708
17,100,9,858,920,21,518,0.8216783216783217
18,100,9,932,948,22,518,0.8304721030042919
19,100,9,973,1014,23,568,0.828365878725591
20,100,9,1046,1048,24,568,0.8307839388145315
21,100,9,1093,1111,25,605,0.8325709057639524
22,100,9,1135,1187,27,643,0.8299559471365638
23,100,9,1173,1247,28,689,0.8226768968456948
24,100,9,1210,1322,29,738,0.824793388429752
25,100,9,1251,1402,31,798,0.8177458033573142
26,100,9,1301,1454,32,826,0.8186010760953113
27,100,9,1353,1506,32,848,0.8255728011825573
28,100,9,1405,1555,32,875,0.8320284697508897
29,100,9,1452,1610,32,918,0.837465564738292
30,100,9,1483,1682,33,966,0.8361429534726905
31,100,9,1546,1728,35,994,0.8357050452781372
32,100,9,1590,1783,35,1031,0.8402515723270441
33,100,9,1648,1826,37,1050,0.8325242718446602
34,100,9,1691,1891,38,1095,0.8350088704908338
35,100,9,1757,1928,39,1106,0.836084234490609
36,100,9,1816,1966,40,1120,0.836453744493392
37,100,9,1865,2034,40,1168,0.8407506702412869
38,100,8,1892,2113,40,1219,0.8430232558139535
39,100,9,1956,2151,42,1231,0.8338445807770961
40,100,9,2013,2216,44,1274,0.8296075509190264
41,100,9,2067,2265,46,1297,0.8234155781325593
42,100,9,2135,2304,46,1316,0.8290398126463701
43,100,9,2176,2373,46,1369,0.8322610294117647
44,100,8,2226,2449,48,1423,0.8252470799640611
45,100,9,2262,2527,48,1469,0.828028293545535
46,100,9,2312,2571,50,1505,0.8217993079584776
47,100,9,2366,2614,51,1526,0.8212172442941674
48,100,9,2427,2653,51,1545,0.8257107540173053
49,100,9,2461,2729,53,1599,0.8228362454286875
50,100,8,2515,2808,53,1650,0.8266401590457256
51,100,9,2568,2866,55,1690,0.822429906542056
52,100,9,2622,2913,56,1715,0.8226544622425629
53,100,9,2670,2966,56,1748,0.8258426966292135
54,100,9,2749,2988,57,1748,0.8283012004365223
55,100,9,2801,3033,58,1775,0.8297036772581221
