algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed,ratio
SHEER,SHEER,1273,1286,6213,1287,7258,83886,0.9134778151300574,0.08652218486994256,0.9724252231560265,0.941046409138823,0.0006522481478344717,49333.977144696604,2.253500724287784,2.945773071823289,1.0,1637,4388,6,0,0,36297800,6213,42,0.1
ACTAR,ACTAR,789,902,5024,1047,7296,81383,0.9103498273595223,0.0896501726404777,0.9676596433922281,0.9361928869171994,0.0006745486522969655,58986.46496815287,2.359275477707006,3.18051496395943,1.6506404632391647,1350,5470,5,0,0,34928800,5024,42,0.1
TFSM_DPC,TFSM_DPC,591,1054,4473,1148,7005,76347,0.9082478682855908,0.09175213171440921,0.9682587753453895,0.9385806445835375,0.0007189473530324085,62009.3896713615,2.713391459870333,3.5421239907988853,1.8392172132329612,1013,5375,8,0,0,32868000,4473,42,0.1
DST_WOA,DST_WOA,627,1642,4893,1207,7596,85374,0.9110267763019186,0.08897322369808136,0.974607215407956,0.9525222148929223,0.0006424610172564454,63583.07786633967,1.9952994073165746,6.922184753729818,1.3510761397824578,634,3809,7,0,0,36027600,4893,42,0.1
TRAIL,TRAIL,875,984,8043,1024,4851,79363,0.938875798545922,0.06112420145407804,0.990941056474125,0.9743145664411373,0.0006706364932544363,37056.8195946786,2.156409300012433,2.3069097027585728,1.2606828430319947,2100,1350,10,0,0,35123200,8043,42,0.1
SHEER,SHEER,1276,1288,9516,300,14359,85606,0.8322664299231363,0.16773357007686374,0.9400395806139206,0.8871665050487415,0.000701374783355036,29948.29760403531,1.7854140395124,2.5795478542404773,1.0,2649,8588,16,0,0,37651000,9516,42,0.2
ACTAR,ACTAR,782,911,5463,300,14949,84561,0.8232163763437046,0.1767836236562954,0.932669654657243,0.8749361347215485,0.000717957667610121,50969.796814936846,2.1947647812557203,3.6109727409288097,1.6501321611216457,1576,11512,12,0,0,36229000,5463,42,0.2
TFSM_DPC,TFSM_DPC,693,1102,6965,300,13498,79842,0.8309411086896621,0.1690588913103379,0.9404919811889545,0.8889266414006147,0.0007531151127858833,38101.3639626705,2.041923905240488,3.1760862854940393,1.7981430121789461,1857,10090,14,0,0,34812600,6965,42,0.2
DST_WOA,DST_WOA,685,1685,6673,828,15413,87388,0.8236256694282967,0.17637433057170326,0.9429246266064606,0.8851240845433387,0.0006942976858457742,43144.0131874719,1.753634047654728,5.248264149058393,1.3838555053838137,1359,10574,11,0,0,37173400,6673,42,0.2
TRAIL,TRAIL,846,999,8373,1021,13078,85656,0.8473195106005417,0.15268048939945833,0.9631293229353247,0.9246173754732577,0.0006885135255752759,34672.39937895617,1.973725068673116,3.3376729872699054,1.2131637686351235,2246,5379,20,0,0,37588200,8373,42,0.2
SHEER,SHEER,1318,1330,7462,300,23226,89441,0.7403204346999698,0.2596795653000302,0.8877897757305746,0.8116097760479125,0.0007547881487373195,35494.505494505494,2.0116590726346826,3.2553521971640427,1.0,2420,14877,19,0,0,38792000,7462,42,0.3
ACTAR,ACTAR,830,957,4183,300,23566,89426,0.7364748507145573,0.2635251492854427,0.8863346492559976,0.8087780385466466,0.0007588232444679111,62978.72340425532,2.522830504422663,5.336201992949545,1.6312025508654722,1393,18125,19,0,0,37891600,4183,42,0.3
TFSM_DPC,TFSM_DPC,747,1152,4510,300,21797,85289,0.7444336315351335,0.25556636846486647,0.896947646947647,0.8284569696491281,0.0007870619640526069,56312.19512195122,2.5521064301552108,5.649347063111084,1.76017451017451,1324,15905,24,0,0,36441000,4510,42,0.3
DST_WOA,DST_WOA,720,1731,6361,300,23375,91841,0.7454840430744438,0.2545159569255562,0.9098238541757953,0.8327790395788791,0.0007300323009497872,43053.6079232825,1.7822669391605093,6.010939055704034,1.36391785703853,1472,15091,14,0,0,38816000,6361,42,0.3
TRAIL,TRAIL,850,1008,7595,978,21247,91131,0.7668521139897511,0.23314788601024894,0.9333466887985805,0.8696589581155465,0.0007151273612822252,36805.266622778145,1.9432521395655036,4.822727541103988,1.1602226546849064,1970,9759,30,0,0,39416800,7595,42,0.3
SHEER,SHEER,1327,1341,10429,300,30426,92007,0.6693077700609736,0.33069222993902636,0.8416232279436839,0.7560811438810612,0.000811486729081696,23619.13893949564,1.7061079681656919,2.87183049555041,1.0,3412,19374,26,0,0,40372400,10429,42,0.4
ACTAR,ACTAR,893,996,6006,300,29873,91310,0.672839776585259,0.32716022341474105,0.8301186581376043,0.7557916490994112,0.0008135012486931882,40917.08291708292,2.081252081252081,3.963284472862394,1.626462880674512,2287,23163,20,0,0,39031200,6006,42,0.4
TFSM_DPC,TFSM_DPC,742,1189,6373,300,28662,86986,0.6704987009403812,0.3295012990596188,0.847266991290035,0.7641181463403571,0.0008477560847414591,36606.93550917935,2.106229405303625,4.380013118060348,1.7498285439956107,2163,20950,28,0,0,37494000,6373,42,0.4
DST_WOA,DST_WOA,844,1819,6129,300,30270,95738,0.6838246046501911,0.3161753953498089,0.8604661819514877,0.7875231192763451,0.0007634138554997646,42726.70908794257,1.8404307391091532,6.336936422472397,1.3771919105517199,1740,19375,18,0,0,40345800,6129,42,0.4
TRAIL,TRAIL,842,1030,7936,952,28762,96685,0.7025184878729896,0.29748151212701035,0.8964268362704828,0.8267477376843596,0.0007358108631713388,34235.38306451613,1.758820564516129,5.925059660111953,1.1442074113334217,2093,13622,40,0,0,41489200,7936,42,0.4
SHEER,SHEER,1357,1381,7505,300,39520,97657,0.5953183079553949,0.40468169204460513,0.773190911123725,0.6955551642079189,0.0008595143293536346,30985.74283810793,1.9253830779480345,4.516106722502457,1.0,2849,24932,38,0,0,41968400,7505,42,0.5
ACTAR,ACTAR,911,1029,5541,300,38603,94975,0.5935456699131351,0.40645433008686493,0.7735223160434258,0.6872536837804485,0.0008865225590467317,40694.459483847684,2.15592853275582,4.751454460035944,1.6123430071666784,2261,29752,24,0,0,40400600,5541,42,0.5
TFSM_DPC,TFSM_DPC,836,1286,4637,300,36354,91263,0.6016567502711943,0.39834324972880575,0.7910542898249832,0.7059250738911574,0.0009052267374969582,47365.96937675221,2.5175760189777874,6.369046124964148,1.7339416124861133,1918,26660,33,0,0,38854800,4637,42,0.5
DST_WOA,DST_WOA,771,1897,5139,300,39899,99637,0.5995563896945914,0.40044361030540865,0.8009642103853494,0.7086832080623812,0.0008366548949816012,46497.762210546796,1.992605565285075,7.770788739702924,1.3647259700693026,1695,27334,20,0,0,41905800,5139,42,0.5
TRAIL,TRAIL,784,1061,7080,881,37693,102406,0.6319258637189227,0.3680741362810773,0.852208984284456,0.7691474685441457,0.0007723461734820201,36561.016949152545,1.7007062146892655,8.2391977506403,1.0443187612998934,1854,18831,50,0,0,43421800,7080,42,0.5
