algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER,SHEER,1365,1378,6897,300,40652,98092,0.5855727276434368,0.4144272723565632,0.778133704735376,0.6853333311577005,0.0008700471886724845,33313.03465274757,2.01681890677106,4.890630847090178,1.0,2555,25952,33,0,0,42036000,6897,42
ACTAR,ACTAR,904,1020,5335,300,38988,95418,0.5913978494623656,0.4086021505376344,0.7754740386319333,0.6858265937623605,0.0008855824832621095,42309.278350515466,2.226054358013121,4.873860556292608,1.6145135566188198,2205,29904,23,0,0,40550200,5335,42
TFSM_DPC,TFSM_DPC,696,1259,4834,300,36861,93207,0.6045254111815637,0.39547458881843633,0.7983352855570937,0.7128864122410182,0.0008870179305189366,46624.741414977245,2.346090194455937,6.937088806472339,1.7042558477975367,1818,26090,36,0,0,39566600,4834,42
DST_WOA,DST_WOA,787,1577,4093,300,40075,100371,0.6007312869255064,0.39926871307449363,0.8031212684091814,0.7132882751570728,0.0008288680913002903,58925.97117029074,2.3454678719765454,9.327184624155066,1.383425102826058,1431,26673,35,0,0,42059800,4093,42
TRAIL,TRAIL,785,1043,6212,860,38717,103263,0.6250641565710855,0.3749358434289145,0.8567843088649955,0.7640867010251197,0.0007742621017376746,41562.13779781069,1.8094011590470058,9.340913913932127,1.033495491587395,1578,19307,50,0,0,43579200,6212,42
SHEER,SHEER,1355,1375,9054,300,39257,97530,0.5974879524248949,0.40251204757510506,0.7961491599883308,0.7010668164424312,0.0008575984778538129,25744.6432516015,1.7152639717252043,4.374099056454923,1.0,3092,24431,39,0,0,42063400,9054,43
ACTAR,ACTAR,889,1031,8172,300,37421,94193,0.6027199473421592,0.39728005265784083,0.7838899457479039,0.6997269749893887,0.0008803610596503017,27788.546255506608,1.792462065589819,3.5047756999757733,1.6231769181991123,3035,28660,25,0,0,40618400,8172,43
TFSM_DPC,TFSM_DPC,738,1319,7352,300,35870,90920,0.6054773427188738,0.39452265728112623,0.8063396911898274,0.7099456217092188,0.0009077340707022839,29951.033732317737,1.9597388465723613,4.373733003447707,1.7222706630336058,2697,26418,33,0,0,39181800,7352,43
DST_WOA,DST_WOA,807,1809,8098,300,38354,98806,0.6118251928020566,0.3881748071979434,0.8183186660490968,0.72802535800722,0.0008260606299563237,29860.212398122992,1.6234872808100766,5.609471474438135,1.3793092039965593,2509,24584,42,0,0,42180000,8098,43
TRAIL,TRAIL,811,971,9849,875,37165,100459,0.6300480793159399,0.36995192068406013,0.8609978828956931,0.765465905583666,0.0007896208192000435,25705.756929637526,1.4946695095948828,6.060431303223884,1.0541125541125542,2668,18847,50,0,0,43160800,9849,43
SHEER,SHEER,1325,1350,9041,300,39107,97291,0.5980409287601114,0.4019590712398886,0.7857486594252715,0.6982998153811003,0.0008588961639663654,25742.285145448514,1.7357593186594402,4.010743649301327,1.0,3167,24684,40,0,0,42066600,9041,44
ACTAR,ACTAR,840,1029,6740,300,36999,94254,0.6074543255458654,0.3925456744541346,0.7921928215876343,0.7062561399146559,0.000872931321291806,33979.22848664688,1.9160237388724035,4.230322646772941,1.6288708409745873,2582,28978,26,0,0,40289000,6740,44
TFSM_DPC,TFSM_DPC,672,1238,4605,300,36834,93466,0.6059101705432992,0.3940898294567008,0.8015256392145783,0.7163294260578799,0.000882211843017583,49191.748099891425,2.393485342019544,7.540518902052718,1.689398220087583,1787,25119,37,0,0,39630800,4605,44
DST_WOA,DST_WOA,794,1647,6710,300,38357,99063,0.6128019543119025,0.38719804568809746,0.824383092280829,0.7262262871296111,0.0008232452935062824,36188.37555886736,1.7348733233979137,6.561967213114753,1.3783975224854215,1990,25934,37,0,0,41995000,6710,44
TRAIL,TRAIL,769,1006,6229,833,38308,102810,0.6273903316797976,0.37260966832020237,0.8520666025859663,0.762692386680389,0.0007748472043321465,41420.45272114304,1.7717129555305828,9.281337837703223,1.0682459458621438,1612,19333,50,0,0,43352200,6229,44
SHEER,SHEER,1299,1320,10836,300,39034,97140,0.5981675931645049,0.40183240683549515,0.7949609334664234,0.7018347753253811,0.0008602261899841375,21449.243263196753,1.566998892580288,3.8700308934943473,1.0,3682,24278,40,0,0,42265000,10836,45
ACTAR,ACTAR,846,1026,8726,300,38669,95456,0.5949023633925579,0.40509763660744214,0.7836476658390125,0.692919819993827,0.0008800747112893798,26031.171212468485,1.6650240660096265,3.8647105116850726,1.6012467642242063,3134,30292,29,0,0,40717200,8726,45
TFSM_DPC,TFSM_DPC,681,1335,6575,300,37296,92971,0.5988426498585581,0.40115735014144194,0.7851638976201167,0.7060771448169263,0.0008976603132020669,33870.722433460076,1.9700380228136882,5.5930200561634225,1.7237000449034576,2481,27203,40,0,0,39794400,6575,45
DST_WOA,DST_WOA,831,1602,8453,300,38117,99106,0.6153916009121546,0.3846083990878454,0.828821590778665,0.7318834010822157,0.00081932495074142,28860.28628889152,1.5428841831302496,5.728181316297963,1.3923330436636114,2510,27312,42,0,0,42269400,8453,45
TRAIL,TRAIL,789,890,9349,829,37734,101449,0.6280495618488108,0.3719504381511892,0.8521384289413796,0.7636660168606386,0.0007843164911163673,27260.669590330515,1.490640710236389,6.383846446306336,1.0518873106803734,2502,19066,50,0,0,43391000,9349,45
SHEER,SHEER,1289,1307,9062,300,38921,95894,0.5941247627588796,0.4058752372411204,0.7879170835307953,0.6928511026227838,0.0008771957331179148,25148.09092915471,1.7172809534319136,3.913378997593302,1.0,3124,24702,37,0,0,41489400,9062,46
